payment_id,payment_type,fare_amount,promo_code
154,cash,23,dXppi-13682
155,cash,139,
156,card,67,
157,cash,348,bjMsS-26446
158,mix,346,
159,card,470,
160,cash,445,
161,card,172,
162,mix,487,iYFyA-91134
163,gift,106,
164,card,250,
165,mix,248,aJVLP-20752
166,mix,334,fPoPC-46980
167,cash,336,
168,cash,182,
169,mix,471,ZBfuS-99379
170,cash,302,mxjfq-09373
171,cash,145,
172,mix,441,pkZjm-07643
173,card,381,
174,cash,465,
175,gift,119,EGDcW-89297
176,card,438,
177,card,348,fVVac-77285
178,card,381,
179,gift,66,
180,mix,145,
181,gift,364,
182,card,322,
183,cash,40,
184,card,465,WwmSi-66787
185,card,175,
186,gift,357,
187,card,322,
188,mix,314,WPiDs-51516
189,gift,7,
190,card,481,NDOvG-13100
191,card,190,MvwwX-30658
192,cash,400,
193,gift,157,
194,cash,178,
195,cash,113,OkiFC-24867
196,cash,420,
197,card,405,sCkTo-14173
198,mix,468,
199,card,229,
200,gift,207,
201,cash,224,SbcKR-90169
202,mix,263,
203,cash,470,
204,card,218,eDYmw-16699
205,card,456,sSrrH-57747
206,gift,100,pTBgI-90278
207,cash,233,IPLGr-24396
208,mix,144,
209,cash,128,hEQDU-33146
210,gift,393,
211,gift,17,
212,gift,211,
213,card,61,AaxYs-31264
214,card,18,
215,gift,160,
216,card,221,
217,mix,97,TYhRX-98132
218,card,69,FzZeI-71260
219,gift,358,
220,gift,427,
221,mix,283,
222,gift,102,qLFFQ-86622
223,mix,165,
224,mix,102,
225,cash,15,wMsXa-03068
226,mix,113,pVHqh-11794
227,card,132,FrhYX-57766
228,card,335,BReSo-40670
229,mix,470,
230,mix,296,
231,card,47,
232,card,60,XeDHB-44214
233,gift,473,
234,gift,266,WbWNc-21485
235,mix,415,uXqEU-97014
236,gift,150,
237,gift,489,
238,card,481,
239,gift,125,fNlQm-46112
240,gift,73,
241,cash,390,mYHsH-16541
242,card,495,SdRra-83141
243,cash,314,DqHPg-69782
244,gift,7,jbeQh-06240
245,card,470,
246,card,178,sFiCI-95117
247,gift,375,
248,cash,204,sZRTz-41740
249,card,190,NkiTX-03280
250,gift,90,
251,card,244,
252,mix,187,ZvlIo-45688
253,mix,247,
254,mix,204,
255,card,216,DxTwP-81487
256,gift,278,rUJJb-07189
257,gift,61,PyxgK-76978
258,card,242,uSIye-30010
259,gift,95,
260,card,456,
261,gift,481,cJRVw-00357
262,gift,204,
263,cash,42,
264,gift,299,SCroD-47946
265,card,245,SDHvY-84030
266,gift,88,gJkun-23711
267,mix,86,
268,gift,302,
269,cash,156,ysKzR-89719
270,gift,20,
271,mix,65,gzvrV-33831
272,card,151,
273,gift,94,TflWo-48479
274,gift,51,
275,gift,404,
276,mix,9,
277,mix,404,
278,mix,19,
279,gift,230,YNFOq-99838
280,mix,204,ACvhq-78904
281,mix,407,SuLBw-91534
282,mix,187,TaZYk-27442
283,card,364,BgNiJ-80027
284,gift,193,aHyJi-59004
285,cash,17,
286,gift,114,
287,card,44,
288,card,335,
289,cash,319,iTVee-99193
290,mix,413,iVZYT-88008
291,gift,327,
292,card,257,
293,card,274,sxIcf-98937
294,gift,179,XEHSu-85495
295,cash,255,
296,card,499,ECxYX-19814
297,card,487,CeaMw-76547
298,card,313,AcuKv-00064
299,gift,173,jKOxz-95255
300,card,173,
301,gift,498,
302,cash,298,
303,gift,33,
304,cash,364,
305,gift,395,
306,card,292,
307,card,339,EztnE-37217
308,cash,254,
309,gift,35,KJRlO-77152
310,card,242,bUppt-75510
311,cash,112,
312,card,360,
313,cash,175,GVZHV-58171
314,gift,189,hMlnl-72587
315,gift,479,
316,gift,477,wZDXc-50398
317,mix,226,
318,mix,28,HKzid-54726
319,card,163,dKPzS-23559
320,mix,121,
321,card,337,ZDIte-20182
322,mix,27,JMkgy-88547
323,card,287,
324,gift,100,knFIn-51331
325,card,143,
326,gift,494,
327,card,81,AFntU-06668
328,gift,150,kIGLM-54524
329,mix,278,
330,cash,465,
331,cash,320,WLDsB-08821
332,mix,328,nDlCP-90055
333,cash,55,hMNUq-22412
334,mix,456,
335,cash,74,JFdAz-69730
336,gift,355,
337,gift,230,
338,card,272,
339,cash,196,rtcoZ-64676
340,gift,451,WMbCx-10682
341,mix,378,AaPlD-94070
342,cash,113,
343,cash,417,PqkWd-73474
344,gift,406,QGyXO-25029
345,mix,401,ZZxXr-89853
346,card,283,
347,cash,175,efeTh-06327
348,card,80,jswgP-55423
349,gift,54,SuShT-53454
350,card,398,
351,gift,178,
352,cash,495,MbFhX-70599
353,card,450,FtDDc-47538
354,card,343,PjxBv-37004
355,card,167,WkTaZ-16515
356,gift,123,aXbcb-93379
357,gift,73,
358,card,147,qSdYp-68120
359,mix,249,
360,gift,65,
361,card,193,ojwiK-93759
362,cash,342,FQsVe-97209
363,gift,32,yZZKC-55508
364,gift,406,
365,cash,73,gxckn-74135
366,mix,414,hUpza-11571
367,cash,226,nPpbu-99989
368,cash,488,pXqWc-38073
369,card,425,
370,cash,299,
371,card,432,
372,cash,183,
373,cash,351,
374,gift,210,
375,gift,301,
376,card,427,
377,gift,371,xKTgx-42958
378,gift,346,
379,gift,181,bGaxF-07018
380,gift,368,
381,gift,130,
382,mix,155,
383,cash,86,FPARG-50273
384,cash,215,
385,mix,296,
386,cash,112,
387,gift,35,GYtZo-17371
388,card,104,
389,card,53,
390,gift,147,
391,card,46,HJujw-96274
392,card,475,TAXjC-44509
393,cash,341,BdDqK-13149
394,mix,416,jQmKN-94126
395,card,497,
396,cash,232,
397,card,278,
398,gift,126,
399,card,408,
400,gift,16,JfCNQ-48497
401,mix,447,ZSQxn-14833
402,cash,185,VYcQD-20942
403,gift,10,PVzAa-56864
404,gift,457,
405,card,27,IeggD-55605
406,mix,244,
407,mix,52,RafRD-36440
408,gift,454,kjgWG-03579
409,mix,247,DQXls-45174
410,card,237,
411,cash,358,
412,cash,10,
413,gift,241,
414,cash,395,iDyWy-58933
415,gift,46,
416,card,226,
417,gift,272,
418,card,327,CUlsi-45811
419,cash,91,UcDGS-19582
420,card,397,JpbRc-49015
421,gift,116,
422,cash,58,jApwx-07587
423,cash,69,yjSLS-04032
424,card,53,QWltW-32986
425,cash,347,AWyxj-04907
426,card,217,
427,cash,20,pZNRv-73118
428,mix,154,
429,card,275,XQHQl-14069
430,cash,416,NqDJx-05938
431,card,313,QzVbk-81851
432,gift,94,
433,cash,373,
434,card,26,ZNTBl-23180
435,card,78,tFLiU-74887
436,card,355,
437,mix,421,
438,card,268,
439,gift,338,
440,mix,147,NlzUt-58577
441,cash,396,NGvHW-84153
442,mix,476,
443,card,156,PrGYT-62775
444,cash,402,AGyab-27975
445,mix,197,KsQiY-29192
446,cash,128,OeSCQ-76322
447,gift,104,dIzyy-04266
448,card,349,tqCwg-59409
449,cash,172,GvItf-33312
450,cash,134,
451,cash,155,CGsQT-61388
452,mix,415,
453,mix,226,greoN-42717
454,gift,495,
455,cash,453,rYKXB-59273
456,mix,459,oOSbp-29222
457,mix,255,
458,card,234,
459,card,165,ikgLg-30619
460,card,176,
461,mix,279,
462,card,355,
463,gift,423,
464,gift,445,nXuwd-92306
465,card,12,xPxeO-67767
466,card,340,
467,mix,422,MuIpt-97022
468,gift,100,
469,mix,237,
470,gift,103,YiDHq-89318
471,card,263,
472,gift,363,VXLNU-01125
473,gift,120,vTplq-31491
474,mix,344,
475,mix,40,
476,cash,429,
477,card,55,rKnzC-23010
478,gift,364,ApGgN-42621
479,gift,93,jxDYl-26773
480,card,249,
481,cash,462,
482,mix,294,
483,mix,46,qrWVu-36011
484,gift,317,
485,mix,197,BmDZd-33365
486,mix,437,
487,gift,57,vbpmd-53538
488,mix,403,TBUFU-38751
489,cash,483,
490,cash,263,
491,gift,30,DzxPe-00545
492,gift,271,APsaK-18054
493,card,235,qJTql-48054
494,mix,69,
495,cash,145,KGMwy-04403
496,cash,347,xLKqD-63358
497,card,47,aFRpD-44672
498,card,291,
499,card,199,IggvZ-22794
500,card,32,
