ride_id,driver_id,user_id,ride_status,request_code,pickup_location_lat,pickup_location_lon,dropoff_location_lat,dropoff_location_lon,request_date,pickup_date,dropoff_date,ride_rating,payment_id,passengers_num
40,30,47,no_show,94231,40.69706829915722,-74.18789772,40.68645328644687,-73.9628622,15/01/2023,27/06/2023 11:02,16/06/2023 16:53,3,40,1
41,65,82,completed,28027,40.651077463456694,-73.79955743,40.762426220642126,-74.18253162,23/01/2023,27/08/2023 16:39,17/04/2023 19:11,5,41,2
42,49,32,no_show,78145,40.64379656,-74.15071621,40.876308064650594,-73.82578322,17/08/2023,11/01/2023 23:02,06/07/2023 07:55,5,42,1
43,26,64,cancelled,39291,40.583453350619145,-74.03353712,40.80628525,-73.99582519,02/09/2023,02/02/2023 20:01,24/05/2023 12:18,3,43,4
44,93,1,cancelled,96210,40.75918129,-74.25883125,40.709607742491194,-73.75604577,13/01/2023,26/10/2023 04:55,25/07/2023 02:08,4,44,4
45,39,75,no_show,74611,40.81317724388747,-74.21572396,40.800003961431806,-74.04264726,04/03/2023,13/09/2023 08:10,27/09/2023 07:57,2,45,2
46,60,5,completed,80955,40.77965490393937,-74.18446108,40.78962224013256,-73.92639282,24/09/2023,26/07/2023 11:52,10/05/2023 16:16,3,46,2
47,51,9,no_show,80051,40.91316122966248,-73.94794591,40.486682280798036,-73.74006986,11/07/2023,20/06/2023 19:58,14/10/2023 21:29,3,47,1
48,8,36,no_show,52233,40.63136410923726,-73.88815691,40.51222980395118,-73.7842367,12/03/2023,22/09/2023 17:25,15/01/2023 08:04,2,48,3
49,99,14,cancelled,78237,40.71965004006375,-73.87919783,40.83857912913992,-74.13960072,13/12/2022,27/02/2023 17:22,10/08/2023 17:16,4,49,4
50,89,31,no_show,39534,40.61995729857841,-73.99536828,40.522815206907964,-74.23225031,04/04/2023,23/06/2023 09:49,01/03/2023 08:42,4,50,4
51,87,26,completed,66552,40.572674256008405,-74.13582948,40.54623968977868,-74.2119433,29/06/2023,10/05/2023 22:16,29/07/2023 13:44,5,51,4
52,63,17,no_show,79450,40.66434473,-74.20220903,40.480592483864335,-74.03108487,11/01/2023,25/04/2023 05:21,05/10/2023 14:54,4,52,1
53,63,32,cancelled,62345,40.84496529373123,-74.09301978,40.50410937,-73.9402528,20/07/2023,07/10/2023 07:45,29/06/2023 19:17,5,53,3
54,64,27,cancelled,37260,40.75814485590572,-74.21020692,40.87372089377417,-74.16627465,19/01/2023,28/10/2023 16:19,27/09/2023 23:59,1,54,1
55,80,12,completed,80818,40.61120551219267,-73.75111952,40.798655802490046,-73.96305818,18/01/2023,19/02/2023 06:49,17/01/2023 08:48,3,55,2
56,20,62,completed,42769,40.595637997662735,-74.24365707,40.51742138093769,-74.03436474,26/11/2022,29/07/2023 15:17,30/08/2023 10:39,2,56,3
57,87,8,completed,11718,40.63273616821502,-73.76863148,40.80218919,-73.97751193,29/12/2022,26/09/2023 06:42,28/05/2023 19:32,4,57,3
58,96,70,cancelled,83824,40.916051845327395,-74.0481945,40.58551287795647,-73.82695036,03/01/2023,28/01/2023 08:00,20/03/2023 05:12,1,58,2
59,43,47,cancelled,87026,40.86515477768861,-73.89726297,40.579988887918674,-73.76983403,01/10/2023,19/07/2023 23:07,27/05/2023 12:51,2,59,1
60,42,48,completed,58510,40.90803135994597,-74.23650498,40.71354240337282,-73.89322486,14/11/2022,17/02/2023 16:46,23/03/2023 01:03,2,60,4
61,7,48,no_show,82756,40.52333403697809,-74.08419407,40.806057601917395,-74.07657818,18/10/2023,14/02/2023 16:25,14/04/2023 02:21,5,61,2
62,66,53,cancelled,40643,40.742398479811634,-73.91649872,40.68744821741119,-73.74744151,02/07/2023,18/01/2023 20:02,05/03/2023 03:54,5,62,3
63,80,25,no_show,32808,40.74203183681364,-74.20743835,40.56022738228928,-73.73654798,09/12/2022,18/05/2023 16:15,30/01/2023 22:38,5,63,1
64,83,35,completed,16738,40.541422349988814,-73.85616759,40.695211923971854,-73.76349732,23/09/2023,13/04/2023 13:01,21/02/2023 20:53,2,64,3
65,26,51,cancelled,53058,40.80955708983289,-73.89194592,40.878548376172034,-74.0959519,05/08/2023,05/03/2023 21:50,07/04/2023 15:58,2,65,4
66,53,52,no_show,42518,40.795602774685086,-73.75911982,40.607702998095846,-74.11504652,03/03/2023,11/04/2023 10:22,17/09/2023 07:25,1,66,4
67,99,85,completed,26359,40.611425411661905,-74.08644305,40.63258389979071,-74.08374907,08/10/2023,10/04/2023 23:04,27/01/2023 07:43,4,67,1
68,42,100,no_show,70147,40.50034509244294,-73.79494886,40.90491862198867,-73.90860234,03/02/2023,05/04/2023 13:01,15/04/2023 04:53,3,68,3
69,76,18,no_show,75008,40.72711762778945,-73.83494008,40.91727246175332,-73.70206078,10/07/2023,07/09/2023 12:43,17/01/2023 00:43,5,69,1
70,10,11,no_show,19573,40.58590004643584,-74.21510264,40.480352719246305,-74.22190964,06/07/2023,10/01/2023 13:42,14/10/2023 04:44,3,70,4
71,4,1,cancelled,29065,40.61406632734377,-74.17905983,40.61698904566908,-74.03191899,14/11/2022,12/05/2023 12:48,01/08/2023 10:30,2,71,1
72,16,13,no_show,42463,40.802154501256375,-73.83661861,40.84590079483282,-74.23777336,27/08/2023,29/03/2023 17:37,09/05/2023 13:13,2,72,1
73,79,10,no_show,30845,40.516371856771734,-73.89477247,40.803673863990895,-74.21959389,30/06/2023,30/06/2023 05:57,25/03/2023 12:48,3,73,2
74,28,40,no_show,99466,40.833167131991274,-73.84213911,40.71184907194246,-74.13986161,26/04/2023,13/06/2023 12:28,09/01/2023 19:59,3,74,2
75,70,77,completed,96201,40.681311915697556,-74.02600645,40.59089280925994,-73.86692182,28/03/2023,06/06/2023 22:14,14/01/2023 02:43,5,75,4
76,90,54,cancelled,18081,40.47935275400524,-73.95016567,40.69909217263252,-74.2321433,30/03/2023,16/03/2023 08:22,20/01/2023 22:53,3,76,3
77,10,65,no_show,89749,40.83238399649363,-74.15376986,40.521203441926836,-74.01457175,28/07/2023,04/07/2023 01:05,04/05/2023 02:26,1,77,3
78,86,2,cancelled,51696,40.55892527747022,-73.8267842,40.514285593193726,-74.08252134,22/12/2022,13/08/2023 04:18,26/05/2023 14:53,2,78,2
79,8,71,cancelled,84197,40.615639189318514,-73.85920027,40.79886725998913,-74.0339155,08/05/2023,29/05/2023 00:50,07/01/2023 21:10,4,79,2
80,55,63,completed,34024,40.71567092468492,-73.86550009,40.79307220931392,-73.90581048,08/03/2023,09/11/2023 03:21,30/07/2023 15:04,3,80,3
81,6,83,no_show,63106,40.51787504,-73.8574555,40.68600673862967,-74.08735309,26/09/2023,08/02/2023 15:12,30/01/2023 01:45,5,81,1
82,45,54,completed,96099,40.518240564875725,-74.09623817,40.869920470538084,-74.23741074,28/10/2023,17/10/2023 04:45,14/06/2023 19:16,4,82,1
83,98,11,completed,81615,40.49963929696007,-74.08150317,40.486660120140975,-74.03816753,07/02/2023,24/06/2023 21:49,02/09/2023 07:24,2,83,3
84,27,1,completed,92638,40.59733090731535,-73.73464975,40.57631327654841,-73.91349105,03/09/2023,20/08/2023 00:40,03/10/2023 23:29,2,84,4
85,73,6,cancelled,87853,40.78958446147458,-73.75974845,40.890726951335544,-74.20398092,05/10/2023,05/07/2023 14:39,24/02/2023 10:03,5,85,1
86,11,25,cancelled,54931,40.89969313628711,-73.83146453,40.53667253324486,-73.81343379,14/07/2023,20/04/2023 18:54,14/01/2023 20:09,5,86,2
87,92,47,no_show,27623,40.61735032125435,-73.80316881,40.648627293861125,-74.00789615,11/06/2023,03/09/2023 00:44,16/10/2023 15:22,4,87,4
88,96,56,completed,73859,40.81510340632766,-73.89733222,40.563090658943935,-74.24546034,11/12/2022,01/03/2023 20:39,18/10/2023 09:17,3,88,2
89,99,38,no_show,61952,40.59435480633232,-74.09120889,40.90056047,-73.94102608,21/09/2023,22/09/2023 23:34,18/01/2023 09:34,2,89,2
90,35,63,cancelled,72244,40.671797631405795,-73.84743789,40.574457947112236,-74.07482191,06/04/2023,22/10/2023 06:46,06/03/2023 18:13,1,90,1
91,94,49,cancelled,23008,40.584229064296835,-73.86612584,40.81013089,-74.00563405,21/07/2023,05/06/2023 01:06,16/01/2023 23:32,4,91,2
92,71,59,completed,82464,40.76925085,-74.07057539,40.766692051792944,-73.90104544,10/07/2023,11/05/2023 17:45,06/10/2023 05:42,3,92,2
93,49,95,cancelled,70515,40.72061149251428,-74.09016952,40.55777743763945,-73.80495464,26/07/2023,31/03/2023 03:14,10/05/2023 13:25,1,93,2
94,61,87,completed,27930,40.529333342239674,-73.99148929,40.61333595,-73.73279582,06/04/2023,28/04/2023 09:11,10/10/2023 03:38,2,94,4
95,74,81,cancelled,31244,40.66296182888389,-74.12244703,40.571270232723556,-73.75651976,22/07/2023,03/04/2023 11:53,23/09/2023 10:26,2,95,2
96,38,83,cancelled,32241,40.73221016833628,-73.70384977,40.56439030021527,-73.70807526,03/04/2023,14/10/2023 23:16,13/10/2023 11:47,5,96,4
97,85,12,cancelled,70730,40.82004411089693,-74.14750136,40.71929734299094,-74.13833295,03/01/2023,10/08/2023 08:38,21/01/2023 19:45,5,97,4
98,12,38,no_show,32844,40.62010830759515,-73.85393682,40.86937335890812,-74.01159067,08/12/2022,12/09/2023 06:19,12/06/2023 02:07,2,98,4
99,33,45,no_show,22437,40.53424195449525,-74.00996397,40.72940351983717,-74.2111879,18/02/2023,30/09/2023 13:27,26/07/2023 12:23,3,99,2
100,43,28,no_show,87122,40.89525217290546,-74.19373562,40.70575968958729,-73.85201068,06/07/2023,28/06/2023 19:40,06/10/2023 13:38,3,100,3
