payment_id,payment_type,fare_amount,promo_code
593,card,281,nyqZj-32302
594,cash,399,vCMLm-92840
595,mix,88,
596,gift,293,hVdvw-16646
597,card,123,
598,mix,63,
599,cash,393,Rzxtu-83437
600,card,407,cAVkA-02649
601,cash,185,
602,cash,368,
603,mix,342,aSDQU-81672
604,gift,218,rVDxh-21539
605,mix,88,
606,card,441,xLzLN-78265
607,cash,274,VQQNo-04815
608,card,19,
609,gift,234,
610,gift,345,
611,cash,485,nTCoS-27408
612,cash,169,
613,gift,351,FYItL-23692
614,cash,500,qebSJ-69712
615,cash,290,
616,cash,346,KRTgQ-69854
617,mix,9,
618,gift,144,
619,cash,467,
620,gift,268,
621,gift,205,IpeSm-34347
622,cash,448,yDZJv-68235
623,mix,244,uIzTr-71305
624,card,433,
625,gift,200,WxWmv-33286
626,mix,428,ITbrG-32680
627,gift,69,
628,mix,444,
629,cash,485,
630,mix,346,ybtwd-25879
631,mix,416,HULMv-79095
632,cash,160,
633,card,396,
634,gift,85,oelqm-93055
635,gift,34,SrKPo-69577
636,gift,384,
637,mix,460,JdOtB-05488
638,card,94,CuAJh-86081
639,cash,483,DhcxC-44114
640,card,81,
641,gift,333,
642,cash,76,JpgKM-27077
643,cash,143,
644,cash,163,
645,gift,313,
646,card,421,LylLI-13825
647,gift,489,
648,gift,129,
649,gift,361,
650,card,461,MBfrv-43543
651,mix,165,
652,mix,349,UYFHO-48589
653,cash,197,
654,gift,307,dsqhc-45025
655,mix,74,
656,gift,95,zuVRk-49751
657,mix,257,DMHmL-05865
658,card,378,
659,card,481,
660,cash,189,
661,gift,291,
662,mix,133,
663,cash,240,
664,card,70,leAfh-98068
665,mix,447,
666,cash,412,TfjVC-10195
667,cash,16,NjxvF-03012
668,card,38,AjzcL-13348
669,card,436,
670,gift,310,nlqCM-50081
671,card,18,
672,cash,247,Sbkid-15384
673,gift,259,wjQZe-17334
674,cash,486,NhbLq-98209
675,mix,74,lmgNY-57380
676,mix,276,estgu-06486
677,gift,259,WmHBA-99720
678,mix,328,ShAij-33850
679,cash,401,PUdZv-75586
680,cash,242,lYlxM-15976
681,card,435,mydKG-14248
682,mix,197,KckOW-76241
683,gift,197,
684,cash,365,QVAvX-10389
685,mix,331,
686,gift,450,ANjqK-12661
687,mix,196,
688,gift,412,
689,gift,272,kdLEG-40168
690,cash,41,KXuEL-25056
691,mix,271,bJrsW-64220
692,gift,410,
693,card,348,XlDnZ-92212
694,card,144,
695,cash,205,ksloH-65220
696,mix,389,
697,cash,225,
698,gift,150,QaVfc-47595
699,mix,309,pHpYL-65958
700,mix,90,
701,mix,349,epyjV-07834
702,gift,163,jNpJD-23436
703,card,246,
704,card,41,QhNfg-08511
705,card,169,
706,cash,207,
707,cash,458,
708,cash,342,
709,card,64,
710,mix,254,
711,cash,191,
712,mix,285,kOAfD-63063
713,card,165,VobeV-85591
714,card,132,
715,card,166,gWgPD-01194
716,cash,498,
717,mix,362,bUpMh-51348
718,mix,178,yNomQ-62115
719,mix,333,
720,card,481,
721,card,235,
722,card,353,Opguc-89712
723,mix,68,TpscD-71897
724,card,261,ArGSj-57528
725,card,178,wpZMX-77224
726,card,469,fdGon-65131
727,card,362,
728,gift,127,
729,mix,286,UTLkm-76015
730,mix,251,ZrzaO-98603
731,cash,416,
732,cash,377,pLHfZ-38769
733,gift,246,ucgSq-07207
734,gift,245,
735,card,371,AJXYO-89673
736,mix,49,nizWE-24677
737,gift,452,LwFTM-34424
738,card,75,WKpVV-80109
739,mix,75,TaDFb-59757
740,cash,325,vFrTe-55695
741,gift,104,
742,mix,404,
743,mix,130,mVKYW-67946
744,gift,352,
745,card,213,
746,card,254,
747,card,164,
748,mix,325,
749,cash,155,
750,cash,188,
751,cash,29,bEVnN-11628
752,card,111,
753,gift,174,QPfqE-45128
754,cash,79,
755,cash,184,ahvlt-44502
756,cash,170,QQfmn-37751
757,cash,326,wEnUx-74835
758,cash,65,
759,gift,196,
760,cash,280,
761,card,377,
762,cash,108,
763,card,7,
764,cash,342,
765,mix,328,
766,mix,392,
767,mix,404,fKgRd-71117
768,card,53,
769,gift,100,
770,gift,125,
771,gift,182,aaoTL-31828
772,cash,92,wGSim-82949
773,mix,456,EEMsc-43241
774,cash,379,rMaBy-05050
775,gift,470,LjbfY-71302
776,cash,280,Tsvfy-62900
777,cash,163,
778,cash,18,
779,gift,376,OuCzP-73474
780,cash,281,
781,gift,315,iRAzl-98736
782,cash,280,
783,mix,372,
784,mix,138,TZLeY-67574
785,gift,387,
786,cash,491,AIbsd-35135
787,gift,65,safHW-40721
788,gift,412,
789,card,38,dVcvp-24529
790,mix,449,oljNe-04225
791,mix,412,noiqi-40961
792,mix,278,alTfi-36817
793,gift,79,
794,mix,117,
795,mix,94,rtXRq-87873
796,card,448,
797,gift,92,
798,card,401,
799,gift,5,
800,mix,450,FLUBd-14704
801,cash,472,
802,mix,371,yUQbg-30868
803,gift,304,
804,gift,427,
805,cash,459,
806,cash,341,
807,cash,111,
808,card,68,
809,gift,465,
810,cash,263,
811,mix,442,PyYrN-30915
812,gift,465,ZqwcF-49867
813,card,24,QqCmn-26187
814,card,140,WJXYa-02846
815,card,202,
816,cash,310,PftCp-80734
817,gift,499,yErGe-70761
818,mix,201,sJdlu-27938
819,mix,67,
820,card,191,
821,mix,246,ddSZF-28742
822,cash,5,
823,gift,366,
824,card,245,
825,cash,227,qKZfJ-31222
826,gift,387,Thaoh-50256
827,cash,115,SMxdy-60718
828,mix,40,aJiLE-67021
829,mix,388,mHMJx-75111
830,card,46,CbCQq-50776
831,card,80,NWGUx-86883
832,mix,457,
833,gift,172,BZVOz-51518
834,cash,311,
835,cash,216,xGnxH-46978
836,cash,32,
837,cash,470,PjWuP-65568
838,mix,310,
839,cash,17,JiLwA-11203
840,mix,355,ubeml-95991
841,gift,214,
842,gift,393,
843,gift,158,kbWvm-67468
844,card,332,wWeYP-18481
845,cash,186,EWlGj-25572
846,card,254,cWgzR-41441
847,gift,421,NYLDc-28316
848,card,390,
849,mix,461,
850,cash,144,
851,gift,353,ffrmM-19309
852,gift,181,
853,cash,276,XfqUa-44836
854,mix,36,
855,cash,159,HIaSF-90592
856,mix,150,OsAEJ-55690
857,card,286,
858,gift,130,
859,cash,146,Pcirw-90592
860,gift,411,WBZWR-39346
861,cash,35,TyzDw-38002
862,cash,192,dlrCI-56603
863,card,479,DTZWY-02690
864,cash,376,
865,card,54,
866,cash,397,
867,gift,217,HQPXz-03123
868,card,279,
869,gift,324,
870,gift,362,
871,cash,405,
872,mix,243,YVsVO-76958
873,card,245,
874,card,472,
875,cash,276,
876,mix,468,
877,gift,16,IdLRQ-00856
878,gift,164,
879,mix,268,
880,card,335,
881,card,494,ICjLU-32000
882,card,255,YmuUp-93833
883,cash,478,
884,gift,323,
885,gift,349,TlbfS-83563
886,cash,433,WMxZO-23429
887,gift,232,pGZow-45660
888,mix,471,kBKEv-49615
889,mix,31,UTfBc-62449
890,gift,57,
891,mix,278,
892,cash,239,
893,card,175,lPKAF-67912
894,mix,425,
895,mix,11,
896,card,465,
897,cash,294,
898,mix,15,yoIyC-23174
899,mix,148,szFRh-13368
900,mix,186,
901,card,71,
902,gift,90,
903,gift,419,
904,gift,291,zUOxM-66936
905,gift,73,
906,mix,275,SBDXT-63560
907,cash,60,
908,card,486,iZHpu-59441
909,cash,382,yFjaW-21171
910,cash,95,DUszW-24584
911,card,109,
912,mix,362,
913,card,101,
914,mix,317,
915,gift,24,qWkcM-44833
916,cash,329,lfPTF-99832
917,cash,280,VDZym-34486
918,card,456,LbmUD-74161
919,card,85,UAGKs-83445
920,card,166,
921,cash,373,opgZj-28302
922,gift,414,
923,mix,334,
924,mix,97,AZRQA-48377
925,mix,427,
926,card,337,
927,cash,27,
928,mix,102,rSUMc-61316
929,cash,372,
930,cash,339,UwGmx-31149
931,cash,440,zKWmp-33966
932,card,26,dUbFT-74467
933,mix,328,BvtyG-62896
934,mix,254,
935,mix,435,RnOMo-81456
936,gift,287,UEhCK-62046
937,cash,92,
938,cash,323,gjRrB-57537
939,card,124,
940,mix,152,hZxxh-09968
941,cash,424,KhGlP-10982
942,cash,381,
943,mix,283,tsMFC-22800
944,gift,240,oeMSc-30393
945,card,137,xtjWh-75630
946,cash,19,
947,cash,349,
948,mix,468,hKoxK-04131
949,card,246,
950,mix,303,fCsin-65513
951,gift,260,VaZHS-78660
952,card,194,QvRyl-42895
953,card,98,
954,cash,383,
955,mix,202,
956,cash,342,aDVeM-17245
957,gift,379,
958,mix,269,
959,cash,196,
960,cash,170,
961,gift,85,
962,mix,112,
963,card,54,bLDOU-46995
964,mix,296,
965,mix,114,wSAtl-00108
966,gift,135,kLvpz-40596
967,card,428,YJOUp-64181
968,card,371,
969,mix,422,
970,card,496,lKNqD-58445
971,card,236,
972,gift,357,
973,card,435,vCuVR-06561
974,cash,493,
975,card,359,
976,gift,64,
977,mix,364,VJoLg-65103
978,mix,372,
979,cash,79,CiQcO-19067
980,cash,495,QRJBn-38265
981,cash,122,dZiOO-60156
982,cash,480,
983,gift,369,
984,gift,323,
985,card,92,
986,card,76,
987,cash,8,
988,cash,355,
989,gift,118,TfwqV-04502
990,gift,265,hxUsC-62315
991,card,231,gwwuH-42432
992,card,498,PctSV-57682
993,mix,224,
994,mix,14,
995,mix,490,qxUdQ-76253
996,card,224,
997,card,432,pbrrH-69001
998,mix,500,hSPYR-90061
999,cash,284,
1000,cash,483,cjlMs-44899
1001,mix,165,OXadN-82025
1002,mix,394,
1003,mix,343,
1004,cash,312,
1005,cash,267,
1006,gift,72,
1007,card,207,IuLXf-33467
1008,gift,399,RMXXp-92894
1009,mix,48,
1010,cash,247,FOovX-35253
1011,card,422,bonyX-15120
1012,cash,456,
1013,card,269,PMEPE-22385
1014,mix,189,ZhLTi-55407
1015,card,461,UERfe-42465
1016,gift,482,
1017,mix,125,
1018,gift,469,gsXgA-71003
1019,card,284,kgkpr-43038
1020,card,181,
1021,cash,293,
1022,gift,244,
1023,cash,407,VyaTg-15363
1024,card,403,dHHua-96682
1025,gift,499,
1026,gift,357,wvckA-55222
1027,cash,472,psSIl-71900
1028,card,442,
1029,card,175,qunRf-67613
1030,gift,471,
1031,gift,367,sMvKv-86124
1032,card,302,bEEsq-86305
1033,gift,101,xwifl-27156
1034,cash,159,qAvar-37311
1035,cash,239,
1036,cash,65,pTVzz-12751
1037,cash,446,
1038,card,165,CybSb-00322
1039,mix,216,UWmfB-84420
1040,gift,162,nPqlA-17591
1041,cash,233,wjykG-72265
1042,gift,431,
1043,cash,88,rRIsj-93943
1044,mix,279,
1045,cash,231,
1046,card,134,
1047,gift,18,
1048,cash,175,XxymX-46627
1049,gift,219,
1050,gift,471,NFSJt-79557
1051,gift,259,
1052,gift,191,SSnoA-17381
1053,gift,411,rmiSY-94532
1054,card,84,XzYTu-26401
1055,card,166,ycZph-39054
1056,cash,363,
1057,cash,59,AMYBL-65157
1058,card,231,TSlNk-22189
1059,cash,356,vaRXe-08613
1060,gift,270,TxSMI-14220
1061,mix,31,AJoIU-96534
1062,gift,16,TmiYb-39166
1063,mix,374,
1064,card,59,nuCAq-45360
1065,gift,413,vJsza-63210
1066,mix,176,WxidH-39263
1067,card,350,SWshh-81018
1068,card,317,qDxgq-00382
1069,card,113,
1070,cash,341,
1071,gift,92,QJiCW-29305
1072,mix,128,
1073,card,209,hvzcU-97694
1074,gift,176,
1075,cash,310,
1076,cash,310,nDVWq-73696
1077,card,408,QsFbN-89402
1078,gift,437,spHeJ-31394
1079,mix,298,
1080,gift,102,
1081,mix,75,
1082,gift,219,cZWZp-26367
1083,mix,255,aOviO-77811
1084,mix,159,KaFnJ-30885
1085,cash,326,
1086,gift,96,iFHSn-04986
1087,mix,345,
1088,gift,102,cjZej-24052
1089,card,283,
1090,gift,197,LDxHQ-62105
1091,gift,346,
1092,card,262,JxGpo-58116
1093,gift,322,yZzpv-00460
1094,mix,253,
1095,card,251,UEals-52886
1096,cash,27,JLdAP-04654
1097,gift,150,
1098,cash,468,
1099,mix,287,UNVSW-85652
1100,card,134,NRttW-74862
1101,mix,439,
1102,cash,438,
1103,mix,490,ohNBE-61086
1104,gift,374,
1105,mix,57,
1106,card,68,
1107,cash,419,ZVtgO-79463
1108,mix,35,YwccR-19046
1109,cash,193,dYpCZ-52426
1110,cash,28,atDPf-44784
1111,mix,398,teGtM-07004
1112,cash,178,
1113,cash,109,
1114,card,328,
1115,card,129,inTZN-51405
1116,gift,7,
1117,mix,387,GfJYT-36068
1118,gift,281,
1119,card,377,IpUhr-96360
1120,cash,61,
1121,gift,183,
1122,gift,369,fvTdt-04936
1123,gift,210,
1124,mix,339,
1125,gift,418,oiVax-25224
1126,mix,401,
1127,gift,187,HlNGI-49010
1128,gift,431,fblXo-96217
1129,mix,7,
1130,card,185,
1131,cash,214,
1132,mix,169,IvjJM-29008
1133,cash,31,snyYC-76458
1134,card,472,
1135,gift,299,
1136,card,407,ANnks-23785
1137,card,103,
1138,cash,232,
1139,mix,30,GzsPm-29927
1140,cash,425,
1141,mix,298,ryKQX-57386
1142,mix,87,Ttbjl-23867
1143,mix,412,
1144,gift,124,JqqHG-85251
1145,gift,303,cjPCr-24364
1146,cash,431,HTXnz-76874
1147,card,487,btzfJ-35248
1148,gift,286,
1149,gift,22,
1150,cash,490,SqbIF-94052
1151,gift,229,IHpAn-03181
1152,cash,419,Epurk-57772
1153,cash,487,
1154,card,313,dqBnx-53529
1155,card,187,ilMVb-82447
1156,card,204,sevMe-81714
1157,card,329,
1158,card,164,
1159,gift,336,
1160,gift,117,
1161,cash,83,
1162,cash,461,EOAmz-52198
1163,card,126,iXAwu-50687
1164,mix,47,
1165,gift,487,
1166,mix,333,CcRXQ-71375
1167,gift,218,NkCyW-40646
1168,cash,331,
1169,mix,40,
1170,cash,24,
1171,card,111,PdjnM-98396
1172,card,397,
1173,cash,88,KFObl-74686
1174,gift,161,
1175,card,95,
1176,mix,233,
1177,card,106,
